Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,30.801,-96.356,95.9,42.0,1.0,4.7
US,47.063,-114.242,76.41,27.0,40.0,14.99
US,38.154,-88.48,77.2,74.0,40.0,4.7
US,34.664,-114.877,106.07,3.0,5.0,16.11
US,35.943,-99.342,99.23,27.0,1.0,13.87
US,37.079,-104.299,78.46,16.0,1.0,12.75
US,32.952,-111.859,107.89,11.0,40.0,6.93
US,46.456,-117.82,83.19,23.0,1.0,8.05
US,34.719,-92.247,90.61,55.0,20.0,6.93
US,30.467,-82.616,74.93,17.0,1.0,11.41
US,30.004,-86.78,89.65,66.0,20.0,3.36
US,40.829,-84.386,77.07,65.0,1.0,6.93
US,42.001,-69.959,68.85,88.0,1.0,12.55
US,32.787,-83.865,85.69,14.0,1.0,5.82
US,33.819,-106.315,97.43,19.0,20.0,3.36
US,38.151,-75.28,79.65,88.0,20.0,4.7
US,43.92,-84.486,98.46,19.0,1.0,12.75
US,34.674,-77.415,78.57,83.0,90.0,13.87
US,37.484,-92.379,70.81,73.0,75.0,4.7
US,36.428,-121.38,66.54,60.0,20.0,16.11
US,43.47,-90.58,75.02,50.0,1.0,6.93
US,36.609,-97.632,97.29,37.0,20.0,23.04
US,42.095,-92.889,77.27,50.0,33.0,4.7
US,28.333,-78.925,80.22,74.0,1.0,4.7
US,34.158,-76.838,76.84,83.0,75.0,3.36
US,38.277,-120.431,98.71,23.0,1.0,5.82
US,40.969,-93.606,79.63,54.0,1.0,5.82
US,35.913,-100.453,97.83,14.0,1.0,13.87
US,33.85,-72.302,79.39,88.0,1.0,6.93
US,42.223,-98.82,78.37,73.0,1.0,8.05
US,43.452,-104.763,81.01,74.0,1.0,5.82
US,41.526,-120.071,88.59,18.0,1.0,14.99
US,33.312,-88.933,89.33,58.0,1.0,3.51
US,29.704,-93.824,85.24,89.0,20.0,4.7
US,46.678,-113.215,71.29,25.0,20.0,11.41
US,44.858,-97.088,75.45,64.0,1.0,5.82
US,44.819,-70.757,65.28,88.0,20.0,5.82
US,26.3,-92.227,87.57,56.0,1.0,3.36
US,39.54,-120.606,86.27,18.0,5.0,10.29
US,31.745,-79.94,83.34,83.0,75.0,8.05
US,34.839,-117.816,95.09,11.0,1.0,23.04
US,36.297,-81.959,74.37,69.0,1.0,4.61
US,31.313,-87.897,88.74,55.0,40.0,5.82
US,33.21,-102.437,92.48,18.0,40.0,20.8
US,29.452,-87.612,77.68,88.0,90.0,4.7
US,34.596,-94.936,94.06,32.0,1.0,3.36
US,47.399,-117.554,80.06,28.0,75.0,9.17
US,38.651,-91.236,81.07,69.0,1.0,1.57
US,31.921,-96.87,79.65,83.0,90.0,4.7
US,32.178,-126.293,69.39,60.0,20.0,16.11
US,42.643,-102.55,78.1,57.0,1.0,6.93
US,42.606,-114.733,87.75,12.0,1.0,11.41
US,33.085,-82.26,80.29,42.0,1.0,13.87
US,43.752,-114.495,78.44,24.0,5.0,10.29
US,43.398,-78.811,80.62,61.0,1.0,11.41
US,39.99,-80.531,76.42,78.0,20.0,3.36
US,36.195,-88.279,84.0,66.0,1.0,3.67
US,37.484,-108.065,86.09,22.0,1.0,14.99
US,47.111,-88.508,62.49,93.0,90.0,6.93
US,34.098,-91.407,90.23,46.0,1.0,3.36
US,45.931,-123.462,65.82,63.0,90.0,9.17
US,41.848,-104.38,79.5,57.0,1.0,6.93
