Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,37.05,-95.272,80.31,83.0,1.0,8.01
US,24.645,-81.888,76.44,64.0,1.0,8.05
US,39.363,-108.095,74.07,69.0,75.0,6.93
US,35.096,-100.618,92.68,34.0,90.0,6.93
US,44.377,-68.753,77.16,78.0,90.0,6.93
US,44.882,-118.656,79.36,20.0,1.0,10.45
US,33.701,-80.358,78.37,88.0,90.0,4.7
US,41.73,-80.017,68.29,77.0,1.0,8.77
US,46.757,-67.925,61.25,82.0,90.0,2.19
US,41.924,-68.976,67.91,88.0,1.0,4.7
US,38.616,-79.515,75.18,83.0,1.0,1.41
US,45.097,-68.309,76.62,65.0,1.0,9.17
US,44.579,-102.971,75.38,44.0,1.0,3.36
US,45.123,-90.041,80.53,20.0,1.0,14.99
US,39.491,-98.271,85.98,62.0,1.0,9.17
US,37.317,-104.549,78.57,20.0,1.0,18.34
US,27.609,-85.544,74.82,60.0,1.0,4.7
US,40.29,-97.96,74.75,88.0,1.0,5.82
US,27.823,-83.703,87.87,29.0,1.0,12.75
US,26.666,-92.026,81.41,83.0,90.0,4.7
US,35.357,-116.617,97.47,22.0,1.0,12.75
US,38.956,-99.422,84.31,58.0,1.0,8.05
US,28.3,-99.53,102.33,27.0,75.0,11.41
US,34.5,-112.11,90.84,14.0,1.0,16.11
US,41.935,-74.166,68.92,88.0,90.0,3.36
US,45.668,-94.271,73.78,64.0,1.0,5.97
US,40.724,-95.226,77.47,100.0,75.0,2.73
US,35.141,-90.556,82.63,83.0,1.0,4.52
US,32.016,-96.607,91.38,52.0,1.0,8.05
US,39.906,-87.67,78.48,57.0,1.0,3.36
US,38.421,-76.072,75.96,57.0,1.0,4.7
US,31.408,-96.838,77.05,78.0,75.0,4.7
US,32.442,-119.911,77.27,88.0,75.0,9.17
US,44.026,-74.34,76.28,57.0,1.0,4.7
US,42.59,-99.673,77.94,51.0,1.0,4.7
US,34.52,-97.086,91.13,46.0,1.0,5.82
US,48.039,-122.995,67.17,68.0,75.0,5.82
US,39.274,-76.796,78.55,65.0,40.0,5.82
US,47.606,-110.966,64.11,49.0,90.0,19.46
US,28.036,-91.223,83.05,94.0,90.0,2.33
US,47.239,-116.857,77.16,29.0,75.0,6.93
US,47.166,-124.644,65.68,77.0,90.0,13.87
US,33.279,-94.407,89.08,46.0,1.0,3.36
US,38.467,-91.847,75.24,78.0,1.0,4.7
US,34.261,-111.258,85.08,12.0,1.0,10.29
US,43.372,-106.019,79.47,18.0,1.0,13.87
US,46.43,-108.022,80.58,20.0,75.0,9.17
US,43.005,-71.831,69.85,64.0,1.0,19.46
US,37.165,-115.441,104.36,5.0,1.0,9.17
US,26.316,-95.07,87.78,74.0,40.0,16.11
US,28.751,-88.273,83.32,79.0,1.0,2.71
US,33.413,-100.623,96.64,23.0,1.0,11.41
US,35.333,-120.289,70.38,88.0,90.0,4.7
US,47.502,-119.818,75.04,26.0,1.0,23.04
US,29.762,-83.21,71.85,25.0,1.0,8.05
US,31.032,-75.77,75.96,88.0,75.0,9.17
US,32.738,-91.67,83.75,74.0,1.0,6.06
US,30.082,-96.783,89.29,59.0,40.0,10.29
US,26.595,-84.285,77.38,88.0,1.0,6.93
US,47.271,-90.786,68.4,72.0,20.0,4.7
US,36.218,-110.2,83.3,100.0,0.0,8.01
US,44.824,-93.147,73.78,57.0,40.0,8.05
US,43.149,-113.64,80.44,24.0,1.0,9.17
US,29.475,-94.605,75.27,83.0,75.0,8.05
US,32.005,-90.149,83.1,54.0,1.0,4.7
US,41.625,-70.415,68.2,94.0,90.0,6.93
US,46.15,-97.709,73.4,73.0,1.0,6.93
US,30.673,-87.987,83.73,70.0,1.0,3.36
US,40.91,-87.215,77.25,69.0,75.0,8.05
US,42.034,-103.566,75.52,83.0,40.0,9.17
US,37.606,-82.44,72.48,73.0,75.0,9.17
US,36.654,-118.62,96.58,15.0,1.0,10.29
US,47.936,-120.64,74.68,30.0,1.0,23.04
US,30.02,-99.166,93.02,32.0,1.0,6.93
US,35.714,-109.348,86.45,11.0,1.0,14.99
US,38.631,-76.834,79.23,83.0,1.0,4.7
US,37.831,-80.358,74.59,100.0,75.0,0.87
US,41.329,-74.472,68.81,94.0,90.0,9.17
